KỸ NĂNG QUÁI VẬT THEO CHỦNG TỘC

1.  Thú tộc

-   Cắn Xé
-   Vồ Mồi
-   Gầm Thét
-   Cuồng Hóa
-   Bản Năng Săn Mồi Boss: Triệu Hồi Bầy Đàn, Cuồng Bạo, Vương Giả Uy Áp

2.  Xà tộc

-   Nọc Độc
-   Quấn Siết
-   Lột Xác
-   Độc Vụ
-   Huyết Độc Boss: Cửu Đầu Phun Độc, Thiên Xà Hàng Thế

3.  Điểu tộc

-   Phong Nhận
-   Bổ Nhào
-   Cuồng Phong
-   Phi Thiên
-   Lôi Dực Boss: Vạn Vũ Phi Linh, Kim Sí Trảm

4.  Long tộc

-   Long Uy
-   Long Tức
-   Long Trảo
-   Long Lân Hộ Thể
-   Hô Phong Hoán Vũ Boss: Diệt Thế Long Tức, Chân Long Giáng Thế

5.  Quy tộc

-   Mai Giáp
-   Thủy Thuẫn
-   Địa Chấn
-   Phản Kích
-   Hồi Phục Boss: Huyền Vũ Thần Thuẫn

6.  Côn trùng

-   Độc Châm
-   Phân Thân
-   Kén Bảo Hộ
-   Ăn Mòn Giáp
-   Quần Thể Công Kích Boss: Trùng Hải, Trùng Mẫu Sinh Sản

7.  Mộc yêu

-   Rễ Trói
-   Gai Gỗ
-   Hồi Sinh
-   Hấp Thu Sinh Mệnh
-   Hoa Phấn Mê Hoặc

8.  Linh vật

-   Linh Khí Trị Liệu
-   Tịnh Hóa
-   Linh Quang
-   Gia Tốc
-   Sinh Mệnh Chi Tuyền

9.  Ma vật

-   Ma Hỏa
-   Ma Trảo
-   Ma Hóa
-   Hút Hồn
-   Huyết Bạo

10. Quỷ tộc

-   Oán Khí
-   Ám Ảnh Di Chuyển
-   Gọi Hồn
-   Sợ Hãi
-   Đoạt Phách

11. Cương thi

-   Thi Độc
-   Đồng Da Sắt Thịt
-   Bất Tử
-   Thi Trảo
-   Thi Khí

12. Khô lâu

-   Loạn Tiễn
-   Kiếm Trảm
-   Linh Hồn Hỏa
-   Hồi Sinh
-   Triệu Hồi Khô Lâu

13. Hải tộc

-   Hải Khiếu
-   Sóng Thần
-   Thủy Lao
-   Thủy Tiễn
-   Lốc Xoáy

14. Dạ Xoa

-   Ảnh Sát
-   Phi Đao
-   Hắc Vụ
-   Cuồng Sát
-   Tàn Ảnh

15. Tu La

-   Tu La Trảm
-   Huyết Chiến
-   Chiến Ý
-   Liên Kích
-   Tử Chiến

16. Thiên Ma

-   Tâm Ma Xâm Thực
-   Huyễn Cảnh
-   Ma Hỏa
-   Đoạt Xá
-   Ma Thần Thể

17. Yêu tộc

-   Mị Hoặc
-   Cuồng Hóa
-   Yêu Hỏa
-   Yêu Khí
-   Huyễn Ảnh

18. Dị thú Thượng Cổ

-   Hỗn Độn Chi Khí
-   Thôn Thiên
-   Phá Diệt
-   Cắn Nuốt
-   Thái Cổ Uy Áp

19. Thần thú

-   Thần Quang
-   Thiên Phạt
-   Thánh Khiên
-   Tái Sinh
-   Nguyên Tố Chi Chủ

20. Thiên Đạo Hóa Thân

-   Thiên Phạt
-   Xóa Buff
-   Khóa Hồi Máu
-   Đạo Tắc Áp Chế
-   Quy Tắc Hủy Diệt

Nguyên tố: Kim (xuyên giáp), Mộc (hồi máu), Thủy (làm chậm), Hỏa (thiêu
đốt), Thổ (khiên), Phong (né tránh), Lôi (choáng), Quang (thanh tẩy), Ám
(nguyền rủa), Hỗn Độn (xóa buff).
